Game_Name,Review_Text,Review_Date,Sentiment_Score,Sentiment_Label,User_Name,Playtime_Hours,Helpfulness_Score,Recommendation,Text_Length,Year,Month,Quarter,Month_Name,Weekday
Counter-Strike: Global Offensive,"Fantastic multiplayer experience, very addictive!",2024-01-21,0.3184,Positive,User_5796,1031,19,Recommended,49,2024,1,Q1,January,Sunday
Counter-Strike: Global Offensive,"Great experience, highly recommend to all gamers!",2024-01-27,0.5134,Positive,User_8328,326,33,Recommended,49,2024,1,Q1,January,Saturday
Counter-Strike: Global Offensive,"Pretty good game overall, has some nice features.",2024-01-09,0.0457,Neutral,User_9142,593,48,Recommended,49,2024,1,Q1,January,Tuesday
Counter-Strike: Global Offensive,"Good game but not exceptional, solid 7/10.",2024-01-12,0.1356,Positive,User_7707,1443,37,Recommended,42,2024,1,Q1,January,Friday
Counter-Strike: Global Offensive,"Meh, expected more from this game honestly.",2024-01-19,-0.2098,Negative,User_1096,1221,11,Not Recommended,43,2024,1,Q1,January,Friday
Counter-Strike: Global Offensive,"Meh, expected more from this game honestly.",2024-01-24,-0.0712,Neutral,User_7113,1273,21,Not Recommended,43,2024,1,Q1,January,Wednesday
Counter-Strike: Global Offensive,"Not impressed, many better alternatives available.",2024-01-18,-0.0004,Neutral,User_5323,940,10,Not Recommended,50,2024,1,Q1,January,Thursday
Counter-Strike: Global Offensive,"Pretty good game overall, has some nice features.",2024-01-09,0.1761,Positive,User_3035,674,19,Recommended,49,2024,1,Q1,January,Tuesday
Counter-Strike: Global Offensive,"Average game, has potential but needs work.",2024-01-12,-0.0835,Neutral,User_4523,1663,19,Not Recommended,43,2024,1,Q1,January,Friday
Counter-Strike: Global Offensive,"Not bad, worth trying if you like this genre.",2024-01-28,0.1063,Positive,User_4649,999,17,Recommended,45,2024,1,Q1,January,Sunday
Counter-Strike: Global Offensive,"Meh, expected more from this game honestly.",2024-01-21,-0.1066,Negative,User_4946,341,1,Not Recommended,43,2024,1,Q1,January,Sunday
Counter-Strike: Global Offensive,"Excellent update, developers really listen to community.",2024-01-28,0.8011,Positive,User_9597,472,14,Recommended,56,2024,1,Q1,January,Sunday
Counter-Strike: Global Offensive,"Awful gameplay, very disappointing overall.",2024-01-01,-0.5085,Negative,User_2449,1230,48,Not Recommended,43,2024,1,Q1,January,Monday
Counter-Strike: Global Offensive,"Pretty good game overall, has some nice features.",2024-01-24,0.2777,Positive,User_1373,339,0,Recommended,49,2024,1,Q1,January,Wednesday
Counter-Strike: Global Offensive,"Not bad, worth trying if you like this genre.",2024-01-20,0.1979,Positive,User_9398,1262,10,Recommended,45,2024,1,Q1,January,Saturday
Counter-Strike: Global Offensive,"Not bad, worth trying if you like this genre.",2024-01-28,0.2897,Positive,User_7905,37,21,Recommended,45,2024,1,Q1,January,Sunday
Counter-Strike: Global Offensive,"Excellent update, developers really listen to community.",2024-01-05,0.6564,Positive,User_6394,1717,47,Recommended,56,2024,1,Q1,January,Friday
Counter-Strike: Global Offensive,"Excellent update, developers really listen to community.",2024-01-17,0.7551,Positive,User_8972,208,14,Recommended,56,2024,1,Q1,January,Wednesday
Counter-Strike: Global Offensive,"Not bad, worth trying if you like this genre.",2024-01-23,0.0352,Neutral,User_7129,996,39,Recommended,45,2024,1,Q1,January,Tuesday
Counter-Strike: Global Offensive,"Great experience, highly recommend to all gamers!",2024-01-20,0.3129,Positive,User_5810,649,38,Recommended,49,2024,1,Q1,January,Saturday
Counter-Strike: Global Offensive,"Fantastic multiplayer experience, very addictive!",2024-01-30,0.314,Positive,User_7526,966,15,Recommended,49,2024,1,Q1,January,Tuesday
Counter-Strike: Global Offensive,"Pretty good game overall, has some nice features.",2024-01-08,0.1702,Positive,User_6263,821,36,Recommended,49,2024,1,Q1,January,Monday
Counter-Strike: Global Offensive,Amazing game! Love the graphics and gameplay mechanics.,2024-01-28,0.4566,Positive,User_6252,880,30,Recommended,55,2024,1,Q1,January,Sunday
Counter-Strike: Global Offensive,"Good game but not exceptional, solid 7/10.",2024-01-19,0.1303,Positive,User_4904,935,14,Recommended,42,2024,1,Q1,January,Friday
Counter-Strike: Global Offensive,"Not bad, worth trying if you like this genre.",2024-01-26,0.0376,Neutral,User_5335,230,21,Recommended,45,2024,1,Q1,January,Friday
Counter-Strike: Global Offensive,"Average game, has potential but needs work.",2024-01-25,-0.0073,Neutral,User_2995,799,26,Not Recommended,43,2024,1,Q1,January,Thursday
